supermercado,categoria,item,valor,data_postagem,link,post_url
Bom Jesus Primavera do Leste 🛒,Bazar / Eletro,Copo Drink Aruba Cinza 475ml,7.49,28/08/2026,https://scontent-lhr11-1.cdninstagram.com/v/t51.82787-15/788860531_18374942995237813_624644092953609674_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ig_cache_key=Mzk3Mzk3Nzc4MjEzMTM5MTcwNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=7IsixMbzdvIQ7kNvwGrq6f5&_nc_oc=AdrUMUMvfmpCgyQ5M66K7SfFgtb0WvRnMZmZe6j9PgsmW_awn6IgbkSp4FaEZ-SdaU4SQ-qB2m8DhAok3yIsJEQw&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr11-1.cdninstagram.com&_nc_gid=UC3DCxA2tHR5SHtq_3JTew&_nc_ss=7a22e&oh=00_AQK3eYVcNv6k5KN4snKGHxnENW_DM_QLsjYHPxumREVvyA&oe=6A9A0F8B,https://www.instagram.com/p/DcmZ8cDD400/
Machadão Atacadista,Bazar / Eletro,Pote Tramontina Mix Color 600ml,10.9,27/08/2026,https://scontent-ams2-1.cdninstagram.com/v/t39.30808-6/786779086_1360550472831577_8028710268323392841_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzk3MzE1NjQ3MjI0MjcxMDI2OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=WKCTmqyswmsQ7kNvwEaT0qb&_nc_oc=AdoESSuIi24al2MbVha01D5uveiXrRKzs-lQ1FHAWnNbZsbtHYYeFSHrV-q5AR66GP4&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ams2-1.cdninstagram.com&_nc_gid=eaSov4kRguWIzndyEDFyGQ&_nc_ss=7a22e&oh=00_AQLhWf_PUniAqLhun79EXhJAomIzs-bwTnc5lqN_vQv_Ew&oe=6A99F9EF,https://www.instagram.com/p/DcjfMcbkgCV/
Machadão Atacadista,Bazar / Eletro,Pote Tramontina Mix Color 600ml,10.9,27/08/2026,https://scontent-ams2-1.cdninstagram.com/v/t39.30808-6/786141071_1360550506164907_1343288441209680541_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzk3MzE1NjQ3MjAxNjIzNDQ4NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=rAfVUo0mg-MQ7kNvwE8KbMG&_nc_oc=AdoB8HYZuZu7FtPAN9JTpSxBSWew2FQqiHsdwKv5ppZhv3g8wxALwdL4pdG5PmzvFUI&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ams2-1.cdninstagram.com&_nc_gid=eaSov4kRguWIzndyEDFyGQ&_nc_ss=7a22e&oh=00_AQKBJ-rltlhoMOCiwlDggrwJqp00mhv-RCqi51TbteRoiQ&oe=6A9A06F9,https://www.instagram.com/p/DcjfMcbkgCV/
Machadão Atacadista,Bazar / Eletro,Churrasqueira Ja 01,169.9,29/08/2026,https://instagram.fktw4-1.fna.fbcdn.net/v/t39.30808-6/788037845_1361504496069508_5961206056822063683_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ig_cache_key=Mzk3NDAzNDk3MDYxNjE1OTA4NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=dkxjjGVbnS4Q7kNvwFadzFa&_nc_oc=AdqEAGU0KR5QSbEQbKQJTDugt7MnwEaUwJwR1PqkKXY6eXhNo2801H3dwVf8D0sCza0&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fktw4-1.fna&_nc_gid=U3FqkMLv5y-ALyQYkbt5Mw&_nc_ss=7a22e&oh=00_AQLPML3ubnmRpXTxeRoksRCE1oOlsTiB_55oh1OxX0qC1g&oe=6A9A2B4A,https://www.instagram.com/p/Dcmm8QNDi4E/
Super Compras Supermercado,Bazar / Eletro,Churrasqueira Super Grill,599.99,29/08/2026,https://instagram.fmxp6-1.fna.fbcdn.net/v/t51.82787-15/789652349_18192946324391764_294674980305459178_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=104&ig_cache_key=Mzk3NDQxNzU0MDcwNDUzNTg2NDE4MTkyOTQ2MzE4MzkxNzY0.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjk2MC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=VztOZX0SUbIQ7kNvwGTthdw&_nc_oc=AdrL4it-3Vq0yVeiyHZ8sROErBhlVkeSrVaeZgQVQ8iWJI1mKEOi40VUJP_PnVx6BTT9S2kFzHtbrV9dDKgMo_QI&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fmxp6-1.fna&_nc_gid=YojeV82df30srrbcIakHNg&_nc_ss=7a22e&oh=00_AQL9Hm4sA4WO5C3nQqnDjMzu9nBxuwcADFJNkNAmpbKUHQ&oe=6A9A1EDD,https://www.instagram.com/p/Dcn97ImxoU4/
Machadão Atacadista,Bebidas / Alcoólicos Diversos,Molho de Tomate Fugini 1.02kg,7.49,27/08/2026,https://scontent-ams2-1.cdninstagram.com/v/t39.30808-6/787104328_1360550532831571_2281243341389434448_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzk3MzE1NjQ3MTc1NjIxMzA2MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=BsEfA1wdsJMQ7kNvwHgpmPZ&_nc_oc=Adq7h13PKXcAqcN4z7fv7REkzV8Zvc0JgloU8TzdMiZVa9SY2_bMxHz6Ah1i3WW-uS4&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ams2-1.cdninstagram.com&_nc_gid=eaSov4kRguWIzndyEDFyGQ&_nc_ss=7a22e&oh=00_AQJs5Ai3x4B6qHdlmHaLjuJg94KI2i896bcpUhDA7wi6jw&oe=6A9A2C50,https://www.instagram.com/p/DcjfMcbkgCV/
Machadão Atacadista,Bebidas / Alcoólicos Diversos,Molho de Tomate Fugini 1.02kg,7.49,27/08/2026,https://scontent-ams2-1.cdninstagram.com/v/t39.30808-6/787798079_1360550486164909_1488167338527184913_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzk3MzE1NjQ3MjAzMzA0ODEyMg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=_YSRXBR_xEAQ7kNvwEPyA0R&_nc_oc=Adod8FBZ1VIwdo7XMEeAFyY3M_eABxg3PxcIYc9Sokz5CWOsNdRGgwkbWB9mxmyi3mY&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ams2-1.cdninstagram.com&_nc_gid=eaSov4kRguWIzndyEDFyGQ&_nc_ss=7a22e&oh=00_AQICQRsanDJxQLmHBBYmho3Rac6l9xK0buxZ-lp11p8Uww&oe=6A9A2815,https://www.instagram.com/p/DcjfMcbkgCV/
Bom Jesus Primavera do Leste 🛒,Bebidas / Alcoólicos Diversos,Sérum de Tratamento Dove Bond Intense 110ml,29.9,27/08/2026,https://scontent-fra3-1.cdninstagram.com/v/t51.82787-15/787993259_18374687005237813_4471412213431393234_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=Mzk3Mjk0NzA1MzQ4MTkxNTUyNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTM1MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=wXQuivYivwoQ7kNvwGqhBw9&_nc_oc=AdptQ5Ne8StUUqEKOJ7pFZaObcB-O8eXJgJlZpKLJuhIAZTFXSQGzsSb3LGYRveb9Wo&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-fra3-1.cdninstagram.com&_nc_gid=LtGElKp89Sdbjkf-yI3g1Q&_nc_ss=7a22e&oh=00_AQIfP27gbFFkftCKyKyh3HkxXSwJLHwcHGi0vYzfKwJ5ng&oe=6A9A052E,https://www.instagram.com/p/DcivkuqOXSF/
Bom Jesus Primavera do Leste 🛒,Bebidas / Alcoólicos Diversos,Sérum Elseve Colágeno Lifter 100ml,29.99,27/08/2026,https://scontent-fra3-1.cdninstagram.com/v/t51.82787-15/787993259_18374687005237813_4471412213431393234_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=Mzk3Mjk0NzA1MzQ4MTkxNTUyNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTM1MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=wXQuivYivwoQ7kNvwGqhBw9&_nc_oc=AdptQ5Ne8StUUqEKOJ7pFZaObcB-O8eXJgJlZpKLJuhIAZTFXSQGzsSb3LGYRveb9Wo&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-fra3-1.cdninstagram.com&_nc_gid=LtGElKp89Sdbjkf-yI3g1Q&_nc_ss=7a22e&oh=00_AQIfP27gbFFkftCKyKyh3HkxXSwJLHwcHGi0vYzfKwJ5ng&oe=6A9A052E,https://www.instagram.com/p/DcivkuqOXSF/
Machadão Atacadista,Bebidas / Alcoólicos Diversos,Vinho Cristóbal 750ml,35.9,27/08/2026,https://scontent-ams2-1.cdninstagram.com/v/t39.30808-6/787104328_1360550532831571_2281243341389434448_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzk3MzE1NjQ3MTc1NjIxMzA2MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=BsEfA1wdsJMQ7kNvwHgpmPZ&_nc_oc=Adq7h13PKXcAqcN4z7fv7REkzV8Zvc0JgloU8TzdMiZVa9SY2_bMxHz6Ah1i3WW-uS4&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ams2-1.cdninstagram.com&_nc_gid=eaSov4kRguWIzndyEDFyGQ&_nc_ss=7a22e&oh=00_AQJs5Ai3x4B6qHdlmHaLjuJg94KI2i896bcpUhDA7wi6jw&oe=6A9A2C50,https://www.instagram.com/p/DcjfMcbkgCV/
